,Departamento,Anio,Concepto,Cantidad
0,Nacional,2002,Camas de hospitalización,25.224
1,Nacional,2002,Camas de observación,4.742
2,Nacional,2002,Consultorios de consulta externa,6.131
3,Nacional,2002,Consultorios en el servicio de urgencias,1.496
4,Nacional,2002,Salas de quirófanos,810
5,Nacional,2002,Mesas de partos,1.472
6,Nacional,2002,Número de unidades de odontología,2.815
7,Amazonas,2002,Camas de hospitalización,115
8,Amazonas,2002,Camas de observación,8
9,Amazonas,2002,Consultorios de consulta externa,16
10,Amazonas,2002,Consultorios en el servicio de urgencias,10
11,Amazonas,2002,Salas de quirófanos,11
12,Amazonas,2002,Mesas de partos,10
13,Amazonas,2002,Número de unidades de odontología,11
14,Antioquia,2002,Camas de hospitalización,2.816
15,Antioquia,2002,Camas de observación,556
16,Antioquia,2002,Consultorios de consulta externa,894
17,Antioquia,2002,Consultorios en el servicio de urgencias,170
18,Antioquia,2002,Salas de quirófanos,114
19,Antioquia,2002,Mesas de partos,186
20,Antioquia,2002,Número de unidades de odontología,414
21,Arauca,2002,Camas de hospitalización,233
22,Arauca,2002,Camas de observación,39
23,Arauca,2002,Consultorios de consulta externa,33
24,Arauca,2002,Consultorios en el servicio de urgencias,12
25,Arauca,2002,Salas de quirófanos,9
26,Arauca,2002,Mesas de partos,12
27,Arauca,2002,Número de unidades de odontología,20
28,"Archipiélago de San Andrés, Providencia y Santa Catalina",2002,Camas de hospitalización,69
29,"Archipiélago de San Andrés, Providencia y Santa Catalina",2002,Camas de observación,2
30,"Archipiélago de San Andrés, Providencia y Santa Catalina",2002,Consultorios de consulta externa,22
31,"Archipiélago de San Andrés, Providencia y Santa Catalina",2002,Consultorios en el servicio de urgencias,4
32,"Archipiélago de San Andrés, Providencia y Santa Catalina",2002,Salas de quirófanos,3
33,"Archipiélago de San Andrés, Providencia y Santa Catalina",2002,Mesas de partos,2
34,"Archipiélago de San Andrés, Providencia y Santa Catalina",2002,Número de unidades de odontología,8
35,Atlántico,2002,Camas de hospitalización,959
36,Atlántico,2002,Camas de observación,134
37,Atlántico,2002,Consultorios de consulta externa,171
38,Atlántico,2002,Consultorios en el servicio de urgencias,42
39,Atlántico,2002,Salas de quirófanos,23
40,Atlántico,2002,Mesas de partos,47
41,Atlántico,2002,Número de unidades de odontología,57
42,"Bogotá, D.C.",2002,Camas de hospitalización,2.153
43,"Bogotá, D.C.",2002,Camas de observación,279
44,"Bogotá, D.C.",2002,Consultorios de consulta externa,654
45,"Bogotá, D.C.",2002,Consultorios en el servicio de urgencias,80
46,"Bogotá, D.C.",2002,Salas de quirófanos,51
47,"Bogotá, D.C.",2002,Mesas de partos,50
48,"Bogotá, D.C.",2002,Número de unidades de odontología,266
49,Bolívar,2002,Camas de hospitalización,695
50,Bolívar,2002,Camas de observación,197
51,Bolívar,2002,Consultorios de consulta externa,226
52,Bolívar,2002,Consultorios en el servicio de urgencias,61
53,Bolívar,2002,Salas de quirófanos,26
54,Bolívar,2002,Mesas de partos,71
55,Bolívar,2002,Número de unidades de odontología,106
56,Boyacá,2002,Camas de hospitalización,1.212
57,Boyacá,2002,Camas de observación,196
58,Boyacá,2002,Consultorios de consulta externa,342
59,Boyacá,2002,Consultorios en el servicio de urgencias,92
60,Boyacá,2002,Salas de quirófanos,45
61,Boyacá,2002,Mesas de partos,78
62,Boyacá,2002,Número de unidades de odontología,217
63,Caldas,2002,Camas de hospitalización,1.118
64,Caldas,2002,Camas de observación,121
65,Caldas,2002,Consultorios de consulta externa,211
