Departamento,Privada,Pública,Mixta,Total general
Amazonas,12,1,0,13
Antioquia,808,129,3,940
Arauca,57,5,1,63
Atlántico,748,28,2,778
Bogotá D.C,1639,9,2,1650
Bolívar,457,43,0,500
Boyacá,226,105,0,331
Caldas,172,31,1,204
Caquetá,59,6,0,65
Casanare,122,6,0,128
Cauca,193,29,0,222
Cesar,313,29,1,343
Chocó,150,4,1,155
Córdoba,356,32,0,388
Cundinamarca,254,52,0,306
Guainía,6,0,0,6
Guaviare,13,2,0,15
Huila,179,41,0,220
La Guajira,115,47,0,162
Magdalena,337,36,0,373
Meta,230,15,0,245
Nariño,224,81,2,307
Norte de Santander,253,17,0,270
Putumayo,60,11,0,71
Quindío,143,14,0,157
Risaralda,194,16,1,211
San Andrés y Providencia,13,0,1,14
Santander,570,85,1,656
Sucre,262,29,1,292
Tolima,250,52,1,303
Valle del cauca,910,55,1,966
Vaupés,1,1,0,2
Vichada,7,4,0,11
