Departamento,Numero_IPS,IPS/Habitantes
Bogotá D.C,3284,43
Valle del cauca,2136,47
Antioquia,1945,31
Santander,1155,57
Atlántico,1028,43
Bolívar,861,42
Cundinamarca,725,28
Nariño,622,37
Magdalena,600,49
Córdoba,550,33
Cesar,528,53
Norte de Santander,517,39
Boyacá,508,40
Sucre,501,60
Tolima,470,34
Cauca,430,32
Caldas,419,43
Meta,408,44
Huila,369,33
Risaralda,347,37
La Guajira,316,35
Quindío,253,45
Chocó,231,47
Casanare,210,61
Putumayo,191,57
Arauca,133,52
Caquetá,108,23
Vichada,33,48
Guaviare,27,25
Amazonas,25,34
San Andrés y Providencia,17,23
Guainía,8,20
Vaupés,4,9
