DP,DPNOM,AÑO,ÁREA GEOGRÁFICA,Población
5,Antioquia,2005,Cabecera,4037095
5,Antioquia,2005,Centros Poblados y Rural Disperso,1423748
5,Antioquia,2005,Total,5460843
5,Antioquia,2006,Cabecera,4106148
5,Antioquia,2006,Centros Poblados y Rural Disperso,1421973
5,Antioquia,2006,Total,5528121
5,Antioquia,2007,Cabecera,4174826
5,Antioquia,2007,Centros Poblados y Rural Disperso,1420354
5,Antioquia,2007,Total,5595180
5,Antioquia,2008,Cabecera,4243194
5,Antioquia,2008,Centros Poblados y Rural Disperso,1418905
5,Antioquia,2008,Total,5662099
5,Antioquia,2009,Cabecera,4312348
5,Antioquia,2009,Centros Poblados y Rural Disperso,1418029
5,Antioquia,2009,Total,5730377
5,Antioquia,2010,Cabecera,4382447
5,Antioquia,2010,Centros Poblados y Rural Disperso,1417713
5,Antioquia,2010,Total,5800160
5,Antioquia,2011,Cabecera,4451741
5,Antioquia,2011,Centros Poblados y Rural Disperso,1417450
5,Antioquia,2011,Total,5869191
5,Antioquia,2012,Cabecera,4519077
5,Antioquia,2012,Centros Poblados y Rural Disperso,1416839
5,Antioquia,2012,Total,5935916
5,Antioquia,2013,Cabecera,4585022
5,Antioquia,2013,Centros Poblados y Rural Disperso,1416129
5,Antioquia,2013,Total,6001151
5,Antioquia,2014,Cabecera,4651049
5,Antioquia,2014,Centros Poblados y Rural Disperso,1415757
5,Antioquia,2014,Total,6066806
5,Antioquia,2015,Cabecera,4718735
5,Antioquia,2015,Centros Poblados y Rural Disperso,1416218
5,Antioquia,2015,Total,6134953
5,Antioquia,2016,Cabecera,4792540
5,Antioquia,2016,Centros Poblados y Rural Disperso,1418772
5,Antioquia,2016,Total,6211312
5,Antioquia,2017,Cabecera,4873219
5,Antioquia,2017,Centros Poblados y Rural Disperso,1423624
5,Antioquia,2017,Total,6296843
8,Atlántico,2005,Cabecera,2003015
8,Atlántico,2005,Centros Poblados y Rural Disperso,111121
8,Atlántico,2005,Total,2114136
8,Atlántico,2006,Cabecera,2032691
8,Atlántico,2006,Centros Poblados y Rural Disperso,112108
8,Atlántico,2006,Total,2144799
8,Atlántico,2007,Cabecera,2061771
8,Atlántico,2007,Centros Poblados y Rural Disperso,113217
8,Atlántico,2007,Total,2174988
8,Atlántico,2008,Cabecera,2089958
8,Atlántico,2008,Centros Poblados y Rural Disperso,114406
8,Atlántico,2008,Total,2204364
8,Atlántico,2009,Cabecera,2117613
8,Atlántico,2009,Centros Poblados y Rural Disperso,115661
8,Atlántico,2009,Total,2233274
8,Atlántico,2010,Cabecera,2144701
8,Atlántico,2010,Centros Poblados y Rural Disperso,116955
8,Atlántico,2010,Total,2261656
8,Atlántico,2011,Cabecera,2170710
8,Atlántico,2011,Centros Poblados y Rural Disperso,118237
8,Atlántico,2011,Total,2288947
8,Atlántico,2012,Cabecera,2195844
8,Atlántico,2012,Centros Poblados y Rural Disperso,119517
8,Atlántico,2012,Total,2315361
8,Atlántico,2013,Cabecera,2220539
8,Atlántico,2013,Centros Poblados y Rural Disperso,120796
8,Atlántico,2013,Total,2341335
8,Atlántico,2014,Cabecera,2244834
8,Atlántico,2014,Centros Poblados y Rural Disperso,122065
8,Atlántico,2014,Total,2366899
8,Atlántico,2015,Cabecera,2270141
8,Atlántico,2015,Centros Poblados y Rural Disperso,123416
8,Atlántico,2015,Total,2393557
8,Atlántico,2016,Cabecera,2301928
8,Atlántico,2016,Centros Poblados y Rural Disperso,125118
8,Atlántico,2016,Total,2427046
8,Atlántico,2017,Cabecera,2341186
8,Atlántico,2017,Centros Poblados y Rural Disperso,127243
8,Atlántico,2017,Total,2468429
11,"Bogotá, D.C.",2005,Cabecera,6694694
11,"Bogotá, D.C.",2005,Centros Poblados y Rural Disperso,16216
11,"Bogotá, D.C.",2005,Total,6710910
11,"Bogotá, D.C.",2006,Cabecera,6784611
11,"Bogotá, D.C.",2006,Centros Poblados y Rural Disperso,16732
11,"Bogotá, D.C.",2006,Total,6801343
11,"Bogotá, D.C.",2007,Cabecera,6867311
11,"Bogotá, D.C.",2007,Centros Poblados y Rural Disperso,17258
11,"Bogotá, D.C.",2007,Total,6884569
11,"Bogotá, D.C.",2008,Cabecera,6942679
11,"Bogotá, D.C.",2008,Centros Poblados y Rural Disperso,17833
11,"Bogotá, D.C.",2008,Total,6960512
11,"Bogotá, D.C.",2009,Cabecera,7012963
11,"Bogotá, D.C.",2009,Centros Poblados y Rural Disperso,18436
11,"Bogotá, D.C.",2009,Total,7031399
11,"Bogotá, D.C.",2010,Cabecera,7077814
11,"Bogotá, D.C.",2010,Centros Poblados y Rural Disperso,19072
11,"Bogotá, D.C.",2010,Total,7096886
11,"Bogotá, D.C.",2011,Cabecera,7132915
11,"Bogotá, D.C.",2011,Centros Poblados y Rural Disperso,19741
11,"Bogotá, D.C.",2011,Total,7152656
11,"Bogotá, D.C.",2012,Cabecera,7175553
11,"Bogotá, D.C.",2012,Centros Poblados y Rural Disperso,20427
11,"Bogotá, D.C.",2012,Total,7195980
11,"Bogotá, D.C.",2013,Cabecera,7207289
11,"Bogotá, D.C.",2013,Centros Poblados y Rural Disperso,21138
11,"Bogotá, D.C.",2013,Total,7228427
11,"Bogotá, D.C.",2014,Cabecera,7231097
11,"Bogotá, D.C.",2014,Centros Poblados y Rural Disperso,21852
11,"Bogotá, D.C.",2014,Total,7252949
11,"Bogotá, D.C.",2015,Cabecera,7250675
11,"Bogotá, D.C.",2015,Centros Poblados y Rural Disperso,22590
11,"Bogotá, D.C.",2015,Total,7273265
11,"Bogotá, D.C.",2016,Cabecera,7277543
11,"Bogotá, D.C.",2016,Centros Poblados y Rural Disperso,23375
11,"Bogotá, D.C.",2016,Total,7300918
11,"Bogotá, D.C.",2017,Cabecera,7313244
11,"Bogotá, D.C.",2017,Centros Poblados y Rural Disperso,24205
11,"Bogotá, D.C.",2017,Total,7337449
13,Bolívar,2005,Cabecera,1336025
13,Bolívar,2005,Centros Poblados y Rural Disperso,463769
13,Bolívar,2005,Total,1799794
13,Bolívar,2006,Cabecera,1354680
13,Bolívar,2006,Centros Poblados y Rural Disperso,468658
13,Bolívar,2006,Total,1823338
13,Bolívar,2007,Cabecera,1372421
13,Bolívar,2007,Centros Poblados y Rural Disperso,473542
13,Bolívar,2007,Total,1845963
13,Bolívar,2008,Cabecera,1389173
13,Bolívar,2008,Centros Poblados y Rural Disperso,478330
13,Bolívar,2008,Total,1867503
13,Bolívar,2009,Cabecera,1411124
13,Bolívar,2009,Centros Poblados y Rural Disperso,477032
13,Bolívar,2009,Total,1888156
13,Bolívar,2010,Cabecera,1426358
13,Bolívar,2010,Centros Poblados y Rural Disperso,481572
13,Bolívar,2010,Total,1907930
13,Bolívar,2011,Cabecera,1440662
13,Bolívar,2011,Centros Poblados y Rural Disperso,485935
13,Bolívar,2011,Total,1926597
13,Bolívar,2012,Cabecera,1454177
13,Bolívar,2012,Centros Poblados y Rural Disperso,490122
13,Bolívar,2012,Total,1944299
13,Bolívar,2013,Cabecera,1467066
13,Bolívar,2013,Centros Poblados y Rural Disperso,494184
13,Bolívar,2013,Total,1961250
13,Bolívar,2014,Cabecera,1479378
13,Bolívar,2014,Centros Poblados y Rural Disperso,498100
13,Bolívar,2014,Total,1977478
13,Bolívar,2015,Cabecera,1491690
13,Bolívar,2015,Centros Poblados y Rural Disperso,502070
13,Bolívar,2015,Total,1993760
13,Bolívar,2016,Cabecera,1506195
