Anio,Codigo,Departamento,Población,Camas de hospitalización,Camas de observación,Consultorios de consulta externa,Consultorios en el servicio de urgencias,Mesas de partos,Número de unidades de odontología,Salas de quirófanos,Camas de hospitalización/Habitantes,Camas de observación/Habitantes,Consultorios de consulta externa/Habitantes,Consultorios en el servicio de urgencias/Habitantes,Mesas de partos/Habitantes,Número de unidades de odontología/Habitantes,Salas de quirófanos/Habitantes
2002,91.0,Amazonas,56082.0,115,8,16,10,10,11,11,205.06,14.26,28.53,17.83,17.83,19.61,19.61
2002,5.0,Antioquia,5263667.0,2816,556,894,170,186,414,114,53.5,10.56,16.98,3.23,3.53,7.87,2.17
2002,81.0,Arauca,217509.0,233,39,33,12,12,20,9,107.12,17.93,15.17,5.52,5.52,9.2,4.14
2002,88.0,"Archipiélago de San Andrés, Providencia y Santa Catalina",61843.0,69,2,22,4,2,8,3,111.57,3.23,35.57,6.47,3.23,12.94,4.85
2002,8.0,Atlántico,2017648.0,959,134,171,42,47,57,23,47.53,6.64,8.48,2.08,2.33,2.83,1.14
2002,11.0,"Bogotá, D.C.",6414904.0,2153,279,654,80,50,266,51,33.56,4.35,10.2,1.25,0.78,4.15,0.8
2002,13.0,Bolívar,1725647.0,695,197,226,61,71,106,26,40.27,11.42,13.1,3.53,4.11,6.14,1.51
2002,15.0,Boyacá,1129250.0,1212,196,342,92,78,217,45,107.33,17.36,30.29,8.15,6.91,19.22,3.98
2002,17.0,Caldas,1005919.0,1118,121,211,47,42,89,23,111.14,12.03,20.98,4.67,4.18,8.85,2.29
2002,18.0,Caquetá,370243.0,296,50,57,20,23,30,7,79.95,13.5,15.4,5.4,6.21,8.1,1.89
2002,85.0,Casanare,303003.0,314,68,67,19,23,39,9,103.63,22.44,22.11,6.27,7.59,12.87,2.97
2002,19.0,Cauca,1235188.0,645,161,256,64,69,116,24,52.22,13.03,20.73,5.18,5.59,9.39,1.94
2002,20.0,Cesar,904392.0,681,138,184,44,54,59,22,75.3,15.26,20.35,4.87,5.97,6.52,2.43
2002,27.0,Chocó,368818.0,301,111,58,17,36,36,8,81.61,30.1,15.73,4.61,9.76,9.76,2.17
2002,25.0,Cundinamarca,1836523.0,1792,280,361,98,75,147,72,97.58,15.25,19.66,5.34,4.08,8.0,3.92
2002,23.0,Córdoba,1479008.0,764,166,210,43,42,87,25,51.66,11.22,14.2,2.91,2.84,5.88,1.69
2002,94.0,Guainía,27426.0,56,4,3,3,3,3,1,204.19,14.58,10.94,10.94,10.94,10.94,3.65
2002,95.0,Guaviare,73006.0,126,7,14,2,1,3,2,172.59,9.59,19.18,2.74,1.37,4.11,2.74
2002,41.0,Huila,906072.0,828,148,182,49,53,77,20,91.38,16.33,20.09,5.41,5.85,8.5,2.21
2002,44.0,La Guajira,602182.0,271,51,113,30,32,47,13,45.0,8.47,18.77,4.98,5.31,7.8,2.16
2002,47.0,Magdalena,1045572.0,706,106,124,50,53,54,18,67.52,10.14,11.86,4.78,5.07,5.16,1.72
2002,50.0,Meta,730069.0,552,87,89,31,31,40,20,75.61,11.92,12.19,4.25,4.25,5.48,2.74
2002,,Nacional,40190679.0,25224,4742,6131,1496,1472,2815,810,62.76,11.8,15.25,3.72,3.66,7.0,2.02
2002,52.0,Nariño,1467795.0,580,303,294,87,93,167,21,39.52,20.64,20.03,5.93,6.34,11.38,1.43
2002,54.0,Norte de Santander,1252638.0,860,214,162,48,49,94,20,68.66,17.08,12.93,3.83,3.91,7.5,1.6
2002,86.0,Putumayo,246855.0,222,34,57,11,13,29,6,89.93,13.77,23.09,4.46,5.27,11.75,2.43
2002,63.0,Quindío,507466.0,526,96,105,27,17,68,12,103.65,18.92,20.69,5.32,3.35,13.4,2.36
2002,66.0,Risaralda,861038.0,618,186,187,30,26,59,18,71.77,21.6,21.72,3.48,3.02,6.85,2.09
2002,68.0,Santander,1813722.0,2195,284,331,111,102,160,60,121.02,15.66,18.25,6.12,5.62,8.82,3.31
2002,70.0,Sucre,756956.0,577,156,155,35,42,62,16,76.23,20.61,20.48,4.62,5.55,8.19,2.11
2002,73.0,Tolima,1297217.0,1050,173,200,69,66,106,36,80.94,13.34,15.42,5.32,5.09,8.17,2.78
2002,76.0,Valle del Cauca,4120344.0,1764,372,331,82,62,130,66,42.81,9.03,8.03,1.99,1.5,3.16,1.6
2002,97.0,Vaupés,21914.0,34,6,3,1,1,3,1,155.15,27.38,13.69,4.56,4.56,13.69,4.56
2002,99.0,Vichada,70763.0,96,9,19,7,8,11,8,135.66,12.72,26.85,9.89,11.31,15.54,11.31
2003,91.0,Amazonas,57244.0,86,8,17,10,10,11,11,150.23,13.98,29.7,17.47,17.47,19.22,19.22
2003,5.0,Antioquia,5330340.0,2740,555,941,184,187,428,114,51.4,10.41,17.65,3.45,3.51,8.03,2.14
2003,81.0,Arauca,218903.0,236,39,37,13,12,20,9,107.81,17.82,16.9,5.94,5.48,9.14,4.11
2003,88.0,"Archipiélago de San Andrés, Providencia y Santa Catalina",62040.0,65,2,18,4,2,6,3,104.77,3.22,29.01,6.45,3.22,9.67,4.84
2003,8.0,Atlántico,2050266.0,968,160,194,45,52,62,24,47.21,7.8,9.46,2.19,2.54,3.02,1.17
2003,11.0,"Bogotá, D.C.",6518528.0,2259,338,682,91,51,263,54,34.66,5.19,10.46,1.4,0.78,4.03,0.83
2003,13.0,Bolívar,1751313.0,712,264,272,70,90,124,28,40.66,15.07,15.53,4.0,5.14,7.08,1.6
2003,15.0,Boyacá,1133618.0,1224,250,392,107,88,254,43,107.97,22.05,34.58,9.44,7.76,22.41,3.79
2003,17.0,Caldas,1003556.0,1132,123,224,51,42,92,23,112.8,12.26,22.32,5.08,4.19,9.17,2.29
2003,18.0,Caquetá,373786.0,300,50,58,21,23,32,7,80.26,13.38,15.52,5.62,6.15,8.56,1.87
2003,85.0,Casanare,310315.0,316,68,72,19,23,41,9,101.83,21.91,23.2,6.12,7.41,13.21,2.9
2003,19.0,Cauca,1251001.0,659,175,261,65,69,123,27,52.68,13.99,20.86,5.2,5.52,9.83,2.16
2003,20.0,Cesar,919636.0,713,140,186,47,54,61,22,77.53,15.22,20.23,5.11,5.87,6.63,2.39
2003,27.0,Chocó,379651.0,295,127,63,18,35,36,8,77.7,33.45,16.59,4.74,9.22,9.48,2.11
2003,25.0,Cundinamarca,1855495.0,1759,287,381,99,76,157,73,94.8,15.47,20.53,5.34,4.1,8.46,3.93
2003,23.0,Córdoba,1499332.0,749,181,224,45,46,88,25,49.96,12.07,14.94,3.0,3.07,5.87,1.67
2003,94.0,Guainía,28509.0,56,12,10,5,5,7,3,196.43,42.09,35.08,17.54,17.54,24.55,10.52
2003,95.0,Guaviare,73442.0,129,18,27,7,10,8,3,175.65,24.51,36.76,9.53,13.62,10.89,4.08
2003,41.0,Huila,918198.0,772,146,177,49,56,81,17,84.08,15.9,19.28,5.34,6.1,8.82,1.85
2003,44.0,La Guajira,617010.0,319,60,130,33,33,51,16,51.7,9.72,21.07,5.35,5.35,8.27,2.59
2003,47.0,Magdalena,1062649.0,709,149,175,72,70,88,19,66.72,14.02,16.47,6.78,6.59,8.28,1.79
2003,50.0,Meta,751036.0,641,107,110,43,42,62,25,85.35,14.25,14.65,5.73,5.59,8.26,3.33
2003,,Nacional,40693254.0,25185,5229,6624,1630,1568,3054,825,61.89,12.85,16.28,4.01,3.85,7.5,2.03
2003,52.0,Nariño,1482363.0,608,339,329,88,92,190,20,41.02,22.87,22.19,5.94,6.21,12.82,1.35
2003,54.0,Norte de Santander,1268004.0,838,219,165,49,52,97,20,66.09,17.27,13.01,3.86,4.1,7.65,1.58
2003,86.0,Putumayo,253401.0,235,66,73,14,14,39,7,92.74,26.05,28.81,5.52,5.52,15.39,2.76
2003,63.0,Quindío,508808.0,537,98,108,27,17,68,12,105.54,19.26,21.23,5.31,3.34,13.36,2.36
2003,66.0,Risaralda,866728.0,603,191,190,32,26,60,18,69.57,22.04,21.92,3.69,3.0,6.92,2.08
2003,68.0,Santander,1836764.0,2057,298,351,124,107,174,59,111.99,16.22,19.11,6.75,5.83,9.47,3.21
2003,70.0,Sucre,766160.0,576,168,158,36,45,64,16,75.18,21.93,20.62,4.7,5.87,8.35,2.09
2003,73.0,Tolima,1300806.0,1027,180,208,70,66,107,36,78.95,13.84,15.99,5.38,5.07,8.23,2.77
2003,76.0,Valle del Cauca,4148271.0,1735,396,369,84,64,146,65,41.82,9.55,8.9,2.02,1.54,3.52,1.57
2003,97.0,Vaupés,23047.0,34,6,3,1,1,3,1,147.52,26.03,13.02,4.34,4.34,13.02,4.34
2003,99.0,Vichada,73034.0,96,9,19,7,8,11,8,131.45,12.32,26.02,9.58,10.95,15.06,10.95
2004,91.0,Amazonas,58414.0,86,8,21,10,10,11,11,147.22,13.7,35.95,17.12,17.12,18.83,18.83
2004,5.0,Antioquia,5396150.0,2745,562,937,190,183,432,109,50.87,10.41,17.36,3.52,3.39,8.01,2.02
2004,81.0,Arauca,220115.0,238,36,43,12,10,22,8,108.13,16.36,19.54,5.45,4.54,9.99,3.63
2004,88.0,"Archipiélago de San Andrés, Providencia y Santa Catalina",62162.0,65,11,15,4,2,5,3,104.57,17.7,24.13,6.43,3.22,8.04,4.83
2004,8.0,Atlántico,2082198.0,910,186,213,48,48,68,21,43.7,8.93,10.23,2.31,2.31,3.27,1.01
2004,11.0,"Bogotá, D.C.",6616513.0,2336,358,735,98,40,278,58,35.31,5.41,11.11,1.48,0.6,4.2,0.88
2004,13.0,Bolívar,1776177.0,718,271,307,75,89,123,24,40.42,15.26,17.28,4.22,5.01,6.92,1.35
2004,15.0,Boyacá,1137797.0,1096,246,416,106,86,251,43,96.33,21.62,36.56,9.32,7.56,22.06,3.78
2004,17.0,Caldas,1000581.0,835,152,223,64,56,106,25,83.45,15.19,22.29,6.4,5.6,10.59,2.5
2004,18.0,Caquetá,376967.0,289,53,64,21,21,40,9,76.66,14.06,16.98,5.57,5.57,10.61,2.39
2004,85.0,Casanare,317671.0,280,79,88,24,26,52,20,88.14,24.87,27.7,7.55,8.18,16.37,6.3
2004,19.0,Cauca,1266447.0,690,175,289,66,69,143,27,54.48,13.82,22.82,5.21,5.45,11.29,2.13
2004,20.0,Cesar,934589.0,738,148,194,48,55,74,25,78.97,15.84,20.76,5.14,5.88,7.92,2.67
2004,27.0,Chocó,390932.0,307,122,67,18,37,35,10,78.53,31.21,17.14,4.6,9.46,8.95,2.56
2004,25.0,Cundinamarca,1877914.0,1765,344,478,114,84,205,75,93.99,18.32,25.45,6.07,4.47,10.92,3.99
2004,23.0,Córdoba,1519528.0,732,194,225,51,53,93,22,48.17,12.77,14.81,3.36,3.49,6.12,1.45
2004,94.0,Guainía,29613.0,57,9,10,2,5,7,5,192.48,30.39,33.77,6.75,16.88,23.64,16.88
2004,95.0,Guaviare,73635.0,132,34,34,11,12,11,3,179.26,46.17,46.17,14.94,16.3,14.94,4.07
2004,41.0,Huila,930198.0,840,194,177,52,59,77,19,90.3,20.86,19.03,5.59,6.34,8.28,2.04
2004,44.0,La Guajira,631693.0,305,69,124,30,33,55,17,48.28,10.92,19.63,4.75,5.22,8.71,2.69
2004,47.0,Magdalena,1080076.0,712,153,204,61,69,99,21,65.92,14.17,18.89,5.65,6.39,9.17,1.94
2004,50.0,Meta,772192.0,642,106,122,48,45,69,17,83.14,13.73,15.8,6.22,5.83,8.94,2.2
2004,,Nacional,41188093.0,24853,5508,7520,1739,1611,3401,828,60.34,13.37,18.26,4.22,3.91,8.26,2.01
2004,52.0,Nariño,1496726.0,591,356,433,91,89,208,20,39.49,23.79,28.93,6.08,5.95,13.9,1.34
2004,54.0,Norte de Santander,1283002.0,895,204,190,58,61,119,19,69.76,15.9,14.81,4.52,4.75,9.28,1.48
2004,86.0,Putumayo,259859.0,270,67,78,14,15,41,6,103.9,25.78,30.02,5.39,5.77,15.78,2.31
2004,63.0,Quindío,510019.0,539,104,116,33,17,68,12,105.68,20.39,22.74,6.47,3.33,13.33,2.35
2004,66.0,Risaralda,872340.0,654,148,189,32,27,65,18,74.97,16.97,21.67,3.67,3.1,7.45,2.06
2004,68.0,Santander,1859665.0,1820,312,350,122,109,172,54,97.87,16.78,18.82,6.56,5.86,9.25,2.9
2004,70.0,Sucre,775124.0,644,197,188,45,51,80,20,83.08,25.42,24.25,5.81,6.58,10.32,2.58
2004,73.0,Tolima,1303498.0,1005,182,318,74,66,111,29,77.1,13.96,24.4,5.68,5.06,8.52,2.22
2004,76.0,Valle del Cauca,4176734.0,1802,408,647,108,76,267,72,43.14,9.77,15.49,2.59,1.82,6.39,1.72
2004,97.0,Vaupés,24236.0,23,6,3,1,1,3,1,94.9,24.76,12.38,4.13,4.13,12.38,4.13
2004,99.0,Vichada,75328.0,92,14,22,8,7,11,5,122.13,18.59,29.21,10.62,9.29,14.6,6.64
2005,91.0,Amazonas,59580.0,86,8,21,10,10,11,11,144.34,13.43,35.25,16.78,16.78,18.46,18.46
2005,5.0,Antioquia,5460843.0,2864,651,1019,189,177,430,92,52.45,11.92,18.66,3.46,3.24,7.87,1.68
2005,81.0,Arauca,220852.0,205,50,52,14,8,25,6,92.82,22.64,23.55,6.34,3.62,11.32,2.72
2005,88.0,"Archipiélago de San Andrés, Providencia y Santa Catalina",62120.0,72,10,9,4,2,2,3,115.9,16.1,14.49,6.44,3.22,3.22,4.83
2005,8.0,Atlántico,2114136.0,781,174,238,49,48,79,19,36.94,8.23,11.26,2.32,2.27,3.74,0.9
2005,11.0,"Bogotá, D.C.",6710910.0,2473,369,743,95,41,269,64,36.85,5.5,11.07,1.42,0.61,4.01,0.95
2005,13.0,Bolívar,1799794.0,700,293,309,79,89,138,22,38.89,16.28,17.17,4.39,4.95,7.67,1.22
2005,15.0,Boyacá,1140665.0,961,287,447,112,90,272,45,84.25,25.16,39.19,9.82,7.89,23.85,3.95
2005,17.0,Caldas,996434.0,846,175,237,58,55,107,26,84.9,17.56,23.78,5.82,5.52,10.74,2.61
2005,18.0,Caquetá,379273.0,307,64,71,22,24,43,10,80.94,16.87,18.72,5.8,6.33,11.34,2.64
2005,85.0,Casanare,325061.0,214,50,64,14,9,40,5,65.83,15.38,19.69,4.31,2.77,12.31,1.54
2005,19.0,Cauca,1281052.0,715,250,305,70,72,170,24,55.81,19.52,23.81,5.46,5.62,13.27,1.87
2005,20.0,Cesar,948747.0,778,176,202,50,58,78,20,82.0,18.55,21.29,5.27,6.11,8.22,2.11
2005,27.0,Chocó,402709.0,266,107,59,14,33,35,7,66.05,26.57,14.65,3.48,8.19,8.69,1.74
2005,25.0,Cundinamarca,1903495.0,1794,358,555,121,94,234,71,94.25,18.81,29.16,6.36,4.94,12.29,3.73
2005,23.0,Córdoba,1539313.0,694,193,237,53,47,104,20,45.09,12.54,15.4,3.44,3.05,6.76,1.3
2005,94.0,Guainía,30731.0,59,6,10,2,4,7,2,191.99,19.52,32.54,6.51,13.02,22.78,6.51
2005,95.0,Guaviare,73296.0,140,28,34,11,15,11,3,191.01,38.2,46.39,15.01,20.46,15.01,4.09
2005,41.0,Huila,941763.0,852,202,186,56,56,112,15,90.47,21.45,19.75,5.95,5.95,11.89,1.59
2005,44.0,La Guajira,645718.0,317,83,137,27,31,75,12,49.09,12.85,21.22,4.18,4.8,11.61,1.86
2005,47.0,Magdalena,1097751.0,692,176,224,57,69,102,23,63.04,16.03,20.41,5.19,6.29,9.29,2.1
2005,50.0,Meta,793921.0,649,143,135,44,41,71,13,81.75,18.01,17.0,5.54,5.16,8.94,1.64
2005,,Nacional,41671878.0,24729,5897,7795,1729,1591,3600,766,59.34,14.15,18.71,4.15,3.82,8.64,1.84
2005,52.0,Nariño,1510454.0,590,374,389,92,92,209,18,39.06,24.76,25.75,6.09,6.09,13.84,1.19
2005,54.0,Norte de Santander,1297649.0,881,265,198,58,61,117,18,67.89,20.42,15.26,4.47,4.7,9.02,1.39
2005,86.0,Putumayo,266274.0,291,68,70,14,16,46,7,109.29,25.54,26.29,5.26,6.01,17.28,2.63
2005,63.0,Quindío,511181.0,556,102,120,32,18,65,12,108.77,19.95,23.48,6.26,3.52,12.72,2.35
2005,66.0,Risaralda,877974.0,626,155,187,37,25,78,14,71.3,17.65,21.3,4.21,2.85,8.88,1.59
2005,68.0,Santander,1882375.0,1809,311,344,124,116,176,65,96.1,16.52,18.27,6.59,6.16,9.35,3.45
2005,70.0,Sucre,783535.0,556,158,178,38,45,69,17,70.96,20.17,22.72,4.85,5.74,8.81,2.17
2005,73.0,Tolima,1304216.0,1011,183,207,71,63,108,29,77.52,14.03,15.87,5.44,4.83,8.28,2.22
2005,76.0,Valle del Cauca,4206951.0,1824,413,786,103,73,304,67,43.36,9.82,18.68,2.45,1.74,7.23,1.59
2005,97.0,Vaupés,25461.0,28,6,3,1,1,3,1,109.97,23.57,11.78,3.93,3.93,11.78,3.93
2005,99.0,Vichada,77644.0,92,9,19,8,8,10,5,118.49,11.59,24.47,10.3,10.3,12.88,6.44
2006,91.0,Amazonas,60784.0,89,20,21,10,10,13,11,146.42,32.9,34.55,16.45,16.45,21.39,18.1
2006,5.0,Antioquia,5528121.0,2879,680,1036,206,175,456,104,52.08,12.3,18.74,3.73,3.17,8.25,1.88
2006,81.0,Arauca,222063.0,197,50,54,15,9,39,10,88.71,22.52,24.32,6.75,4.05,17.56,4.5
