Codigo,DPNOM,MPIO,Municipio_y,Municipio_Departamento,IPS_2022,IPS/Habitantes
94,Guainía,94885,La Guadalupe,La Guadalupe (Guainía),0.0,0.0
94,Guainía,94886,Cacahual,Cacahual (Guainía),0.0,0.0
94,Guainía,94888,Morichal,Morichal (Guainía),0.0,0.0
94,Guainía,94884,Puerto Colombia,Puerto Colombia (Guainía),0.0,0.0
94,Guainía,94887,Pana Pana,Pana Pana (Guainía),0.0,0.0
19,Cauca,19780,Suárez,Suárez (Cauca),1.0,3.0
5,Antioquia,5790,Tarazá,Tarazá (Antioquia),1.0,3.0
5,Antioquia,5847,Urrao,Urrao (Antioquia),1.0,3.0
73,Tolima,73275,Flandes,Flandes (Tolima),1.0,3.0
63,Quindio,63594,Quimbaya,Quimbaya (Quindío),1.0,3.0
25,Cundinamarca,25200,Cogua,Cogua (Cundinamarca),1.0,4.0
41,Huila,41770,Suaza,Suaza (Huila),1.0,4.0
66,Risaralda,66088,Belén de Umbría,Belén de Umbría (Risaralda),1.0,4.0
41,Huila,41807,Timaná,Timaná (Huila),1.0,4.0
5,Antioquia,5209,Concordia,Concordia (Antioquia),1.0,4.0
5,Antioquia,5674,San Vicente,San Vicente (Antioquia),1.0,4.0
5,Antioquia,5895,Zaragoza,Zaragoza (Antioquia),1.0,4.0
73,Tolima,73624,Rovira,Rovira (Tolima),1.0,4.0
5,Antioquia,5679,Santa Bárbara,Santa Bárbara (Antioquia),1.0,4.0
19,Cauca,19845,Villa Rica,Villa Rica (Cauca),1.0,5.0
23,Córdoba,23419,Los Córdobas,Los Córdobas (Córdoba),1.0,5.0
76,Valle del Cauca,76828,Trujillo,Trujillo (Valle del cauca),1.0,5.0
99,Vichada,99773,Cumaribo,Cumaribo (Vichada),4.0,5.0
54,Norte de Santander,54172,Chinácota,Chinácota (Norte de Santander),1.0,5.0
5,Antioquia,5659,San Juan de Urabá,San Juan de Urabá (Antioquia),1.0,5.0
5,Antioquia,5197,Cocorná,Cocorná (Antioquia),1.0,6.0
5,Antioquia,5138,Cañasgordas,Cañasgordas (Antioquia),1.0,6.0
15,Boyacá,15047,Aquitania,Aquitania (Boyacá),1.0,6.0
41,Huila,41016,Aipe,Aipe (Huila),1.0,6.0
25,Cundinamarca,25815,Tocaima,Tocaima (Cundinamarca),1.0,6.0
13,Bolívar,13222,Clemencia,Clemencia (Bolívar),1.0,6.0
17,Caldas,17444,Marquetalia,Marquetalia (Caldas),1.0,7.0
15,Boyacá,15806,Tibasosa,Tibasosa (Boyacá),1.0,7.0
19,Cauca,19050,Argelia,Argelia (Cauca),2.0,7.0
50,Meta,50590,Puerto Rico,Puerto Rico (Meta),1.0,7.0
73,Tolima,73055,Armero,Armero (Tolima),1.0,7.0
41,Huila,41359,Isnos,Isnos (Huila),2.0,7.0
41,Huila,41548,Pital,Pital (Huila),1.0,7.0
5,Antioquia,5480,Mutatá,Mutatá (Antioquia),1.0,7.0
19,Cauca,19473,Morales,Morales (Cauca),3.0,7.0
5,Antioquia,5031,Amalfi,Amalfi (Antioquia),2.0,7.0
5,Antioquia,5495,Nechí,Nechí (Antioquia),2.0,7.0
15,Boyacá,15632,Saboyá,Saboyá (Boyacá),1.0,7.0
5,Antioquia,5604,Remedios,Remedios (Antioquia),2.0,7.0
5,Antioquia,5120,Cáceres,Cáceres (Antioquia),2.0,7.0
54,Norte de Santander,54670,San Calixto,San Calixto (Norte de Santander),1.0,7.0
5,Antioquia,5854,Valdivia,Valdivia (Antioquia),1.0,7.0
15,Boyacá,15693,Santa Rosa de Viterbo,Santa Rosa de Viterbo (Boyacá),1.0,7.0
25,Cundinamarca,25878,Viotá,Viotá (Cundinamarca),1.0,7.0
25,Cundinamarca,25612,Ricaurte,Ricaurte (Cundinamarca),1.0,7.0
25,Cundinamarca,25745,Simijaca,Simijaca (Cundinamarca),1.0,7.0
63,Quindio,63190,Circasia,Circasia (Quindío),2.0,7.0
76,Valle del Cauca,76020,Alcalá,Alcalá (Valle del cauca),1.0,7.0
76,Valle del Cauca,76823,Toro,Toro (Valle del cauca),1.0,7.0
25,Cundinamarca,25279,Fómeque,Fómeque (Cundinamarca),1.0,7.0
25,Cundinamarca,25486,Nemocón,Nemocón (Cundinamarca),1.0,7.0
13,Bolívar,13300,Hatillo de Loba,Hatillo de Loba (Bolívar),1.0,8.0
66,Risaralda,66687,Santuario,Santuario (Risaralda),1.0,8.0
25,Cundinamarca,25718,Sasaima,Sasaima (Cundinamarca),1.0,8.0
25,Cundinamarca,25053,Arbeláez,Arbeláez (Cundinamarca),1.0,8.0
68,Santander,68229,Curití,Curití (Santander),1.0,8.0
86,Putumayo,86571,Puerto Guzmán,Puerto Guzmán (Putumayo),3.0,8.0
5,Antioquia,5038,Angostura,Angostura (Antioquia),1.0,8.0
52,Nariño,52473,Mosquera,Mosquera (Nariño),1.0,8.0
66,Risaralda,66318,Guática,Guática (Risaralda),1.0,8.0
13,Bolívar,13030,Altos del Rosario,Altos del Rosario (Bolívar),1.0,8.0
25,Cundinamarca,25260,El Rosal,El Rosal (Cundinamarca),2.0,8.0
76,Valle del Cauca,76306,Ginebra,Ginebra (Valle del cauca),2.0,8.0
50,Meta,50330,Mesetas,Mesetas (Meta),1.0,8.0
23,Córdoba,23672,San Antero,San Antero (Córdoba),3.0,8.0
25,Cundinamarca,25658,San Francisco,San Francisco (Cundinamarca),1.0,8.0
73,Tolima,73352,Icononzo,Icononzo (Tolima),1.0,8.0
5,Antioquia,5858,Vegachí,Vegachí (Antioquia),1.0,8.0
50,Meta,50680,San Carlos de Guaroa,San Carlos de Guaroa (Meta),1.0,8.0
50,Meta,50400,Lejanías,Lejanías (Meta),1.0,8.0
41,Huila,41503,Oporapa,Oporapa (Huila),1.0,8.0
